prod,country,longitude,latitude,Harvested_,Crop_Value,Yield,Area1
4607.5,CIV,-3.2090405,6.7086665,8526.599609375,4785095.0,540.4000244140625,8526.599609375
3153.60009766,CIV,-5.4590315,6.1253355,4371.0,3277307.0,721.5,4371.0
2821.69995117,CIV,-7.6256895,7.8753285,4640.7001953125,2932387.5,608.0,4640.7001953125
2743.69995117,CIV,-7.9590215,8.1253275,4512.39990234375,2851327.75,608.0,4512.39990234375
2733.89990234,CIV,-7.9590215,8.3753265,4553.0,2841143.5,600.4000244140625,4553.0
2722.5,CIV,-5.7090305,6.9586655,3682.0,2829296.25,739.4000244140626,3682.0
2705.10009766,CIV,-5.5423645,6.8753325,3683.0,2811213.75,734.5,3683.0
2659.10009766,CIV,-7.6256895,8.1253275,4342.5,2763409.25,612.2999877929688,4342.5
2592.39990234,CIV,-6.2923615,7.2919975,3358.39990234375,2694092.75,771.9000244140626,3358.39990234375
2580.69995117,CIV,-3.1257075,6.1253355,3756.0,2681933.75,687.0999755859375,3756.0
2561.89990234,CIV,-3.2090405,6.8753325,3274.0,2662396.25,782.5,3274.0
2523.5,CIV,-3.1257075,6.0420025,3484.0,2622490.0,724.2999877929686,3484.0
2517.30004883,CIV,-7.7090225,7.8753285,4423.0,2616046.75,569.0999755859375,4423.0
2454.10009766,CIV,-7.8756885,8.1253275,4216.0,2550367.5,582.0999755859375,4216.0
2358.69995117,CIV,-7.2090245,7.3753305,3883.0,2451225.5,607.4000244140625,3883.0
2337.60009766,CIV,-3.2923735,5.7086705,3521.39990234375,2429297.5,663.7999877929688,3521.39990234375
2335.30004883,CIV,-7.6256895,8.9586575,3121.0,2426907.5,748.2999877929686,3121.0
2325.69995117,CIV,-6.2923615,7.2086645,3203.0,2416931.0,726.0999755859374,3203.0
2321.0,CIV,-3.2090405,6.1253355,3415.0,2412046.5,679.5999755859375,3415.0
2274.60009766,CIV,-5.2090325,8.2086605,2431.699951171875,2363826.5,935.4000244140624,2431.699951171875
2270.39990234,CIV,-7.7923555,8.1253275,4012.0,2359461.5,566.0,4012.0
2238.89990234,CIV,-3.3757065,5.7086705,3207.800048828125,2326726.0,697.9000244140625,3207.800048828125
2216.60009766,CIV,-2.9590415,7.7919955,2342.699951171875,2303551.0,946.0999755859376,2342.699951171875
2181.60009766,CIV,-7.4590235,7.8753285,3910.8999023437505,2267178.25,557.9000244140625,3910.8999023437505
